0	NATUR  /  MENSCHEN  /  REGION
1	AUSGABE 01   ·   SEPTEMBER 2026
2	DIE WELT\nDER BIENEN\nHEUTE
3	Kennenlernen, verstehen, schützen
4	DIE WELT DER BIENEN HEUTE\n02
5	AUSGABE 01  ·  SEPTEMBER 2026\nVORWORT
6	EINE NEUE RUBRIK
7	Liebe Freundinnen, liebe Freunde...\nund ganz besonders ihr, die Jüngsten!
8	Heute beginnen wir diese einfache Rubrik, die uns alle zwei Wochen bei der Entdeckung einer wirklich außergewöhnlichen Welt begleiten wird: der Welt der Bienen.
9	Mit einfachen Worten, Wissenswertem und kleinen Geschichten möchten wir diese wertvollen Insekten besser kennenlernen, verstehen, wie sie leben, wie sie zusammenarbeiten und wie wichtig sie für die Natur und für uns alle sind.
10	Natürlich soll diese Rubrik auch ein offener Raum für euch alle sein: Eure Erfahrungen, Geschichten und Fotos sind willkommen, sowohl aus der Natur allgemein als auch speziell aus der Welt der Bienen, Bienenstöcke, Blumen und ihrer Umgebung.
11	Ihr könnt uns außerdem Hinweise zu Umweltproblemen, Schwierigkeiten oder Problemen an Bienenstöcken, Beobachtungen zum Gesundheitszustand der Bienen und ganz allgemein alles schicken, was uns hilft, besser zu verstehen, was in unserer Region geschieht.
12	Jede Erfahrung, jedes Foto oder jeder Hinweis kann ein kleiner, nützlicher Beitrag sein, um Probleme zu verstehen, Menschen zu sensibilisieren und, wo es möglich ist, gemeinsam etwas zu verbessern und Bienen sowie ihre Umwelt zu schützen.
13	Mit herzlichen Grüßen verabschieden wir uns bis zur nächsten Ausgabe, um gemeinsam diese kleine Reise durch die wunderbare Welt der Bienen fortzusetzen.
14	DIE WELT DER BIENEN HEUTE\n03
15	AUSGABE 01  ·  SEPTEMBER 2026\nBIENEN / REGION
16	KAPITEL  01
17	Schauen wir sie uns aus der Nähe an
18	Wenn eine Biene auf einer Blüte landet, wirkt sie beinahe still. In Wirklichkeit arbeitet sie: Die Fühler erkunden, die Beine suchen Halt und die Zunge erreicht den Nektar. An ihrem behaarten Körper bleiben Pollenkörner hängen. Einige gelangen auf eine andere Blüte. Andere kehren zum Bienenstock zurück, gesammelt in den kleinen Körbchen an den Hinterbeinen. Schon ein einzelner Besuch erzählt zwei Geschichten: die Ernährung des Volkes und das Leben der Pflanzen.
19	DIE WELT DER BIENEN HEUTE\n04
20	DAS WORT
21	Ein Zuhause voller Leben
22	Ein Bienenstock ist ein Volk, also eine große Familie, die zusammenlebt. Es gibt eine Königin, die Eier legt. Tausende Arbeiterinnen füttern die jungen Bienen, bauen Waben, reinigen, verteidigen und sammeln. Drohnen sind die Männchen und spielen eine Rolle bei der Fortpflanzung. In den Wabenzellen wachsen neue Bienen heran und werden Vorräte gelagert. Aus der Nähe betrachtet wird scheinbares Durcheinander zu gemeinsamer Arbeit.
23	Brut: So nennt man Eier, Larven und Bienen, die sich noch entwickeln.
24	DIE WELT DER BIENEN HEUTE\n05
25	WUSSTEST DU DAS?
26	Ein Tag draußen
27	Die Biene verlässt den Stock, wenn die Bedingungen es erlauben. Sie sucht Blüten, sammelt Nektar und Pollen und kehrt dann zurück. Findet sie eine gute Nahrungsquelle, kann sie ihren Artgenossinnen durch Bewegungen auf der Wabe mitteilen, wo diese zu finden ist. Die Reise folgt keiner Uhr: Sie hängt von Licht, Wetter und Blütezeiten ab. Und trotz vieler ähnlicher Eingänge findet die Biene ihren eigenen Stock wieder.
28	Zur Orientierung nutzt die Biene auch den Stand der Sonne und markante Punkte in der Landschaft.
29	REDAKTIONELLES BILD
30	DIE WELT DER BIENEN HEUTE\n06
31	KAPITEL  04
32	Viel mehr als Honig
33	Auf einer Blüte sucht die Biene Nahrung. Gleichzeitig transportiert sie Pollen zu anderen Blüten derselben Art: Das ist Bestäubung. So können viele Pflanzen Samen und Früchte bilden. Nicht alle sind von Bienen abhängig, und Bienen sind nicht die einzigen Bestäuber: Auch Hummeln, Schmetterlinge, Fliegen und andere Tiere leisten ihren Beitrag. Bestäuber zu schützen bedeutet, einem Lebensnetz Raum zu geben, das viel größer ist als unser Honigglas.
34	DIE WELT DER BIENEN HEUTE\n07
35	DIE ZAHL, MIT JAHRESANGABE
36	Wie geht es ihnen heute?
37	DIE REGION BEOBACHTEN
38	Eine Saison erzählt nicht die Geschichte jedes\nBienenstocks.
39	Nicht alle Bienen erleben dieselbe Situation. Ein Volk kann an einem blütenreichen Ort gedeihen und anderswo Schwierigkeiten haben. Auch Honig erzählt nur einen Teil der Geschichte. Der Bericht des Nationalen Honigobservatoriums zur Saison 2025 beschreibt eine sich erholende italienische Produktion, allerdings mit großen Unterschieden von Region zu Region und weiterhin bestehenden Marktproblemen. Hinter dem nationalen Durchschnitt stehen sehr unterschiedliche Gebiete, Jahreszeiten und Arbeitsbedingungen.
40	Saison 2025: Produktion erholt sich, mit starken regionalen Unterschieden. Quelle: Nationales Honigobservatorium, Bericht veröffentlicht 2026.
41	DIE WELT DER BIENEN HEUTE\n08
42	KAPITEL  06
43	Wenn es ihnen gut geht
44	Eine Wiese, die lange blüht, bietet zu unterschiedlichen Zeiten Nahrung. Eine Wasserquelle, eine abwechslungsreiche Umgebung und ein aufmerksam betreuter Bienenstock helfen dem Volk durch die Saison. „Gut gehen“ bedeutet nicht, niemals Probleme zu haben. Es bedeutet, auf Ressourcen und auf einen Imker zählen zu können, der Signale erkennt und bei Bedarf eingreift. Gute Nachrichten bestehen oft aus regelmäßigen, geduldigen Handlungen.
45	DIE WELT DER BIENEN HEUTE\n09
46	WARNSIGNAL
47	Wenn Blüten fehlen
48	Stell dir vor, du kommst auf einen Markt und findest leere Regale. Für eine Biene kann etwas Ähnliches passieren, wenn eine Blütezeit zu früh endet oder eine Umgebung nur wenige Blüten bietet. Auch anhaltender Regen kann sie daran hindern, an den richtigen Tagen zu fliegen. Ein Volk hat Vorräte, aber sie sind nicht unendlich. Das Problem hat nicht nur eine Ursache: Bedingungen vor Ort, Bienengesundheit und Verlauf der Saison greifen ineinander.
49	Diese Szene zeigt eine lokale Situation; für sich allein beweist sie keinen Verlust von Bienenvölkern.
50	DIE WELT DER BIENEN HEUTE\n10
51	BEOBACHTENSWERT
52	Die Jahreszeiten wechseln\nden Rhythmus
53	IN UNSERER REGION
54	Jede Blüte hat\nihre Zeit.
55	Wenn eine Pflanze früher als gewöhnlich blüht, finden Bienen sie möglicherweise zu einem anderen Zeitpunkt als erwartet. Regnet es während der Blüte tagelang, kann der Nektar unerreichbar bleiben. Hitze und Trockenheit können die verfügbaren Ressourcen verringern. Der Klimawandel erhöht den Druck auf Pflanzen, Bienen und Imker, doch jede Region hat ihre eigene Geschichte. Um sie zu verstehen, braucht es wiederholte Beobachtungen, nicht nur ein einziges Foto.
56	FOTO  ARCHIV LA FABBRICA DELLE API  ·  CASTEL D’ARIO
57	DIE WELT DER BIENEN HEUTE\n11
58	QUELLE
59	Ein schwieriger Gast
60	Varroa ist eine kleine Milbe, die auf Kosten der Bienen lebt und sich in den Zellen vermehrt, in denen junge Bienen heranwachsen. Sie kann das Volk schwächen und die Verbreitung von Viren begünstigen. Deshalb kontrolliert der Imker das Auftreten des Parasiten und wendet die vorgesehenen Maßnahmen an, um ihn einzudämmen. Auf einer Nahaufnahme wirkt Varroa riesig; tatsächlich misst sie nur wenige Millimeter.
61	Gesundheitsministerium, Merkblatt „Varroose“. Die Kontrolle erfordert Fachkenntnis und Kontinuität.
62	DIE WELT DER BIENEN HEUTE\n12
63	GENAU HINSCHAUEN
64	Wer den Bienenstock öffnet
65	Bevor ein Imker eine Wabe anhebt, beobachtet er. Wie ist die Aktivität am Flugloch? Gibt es Vorräte? Legt die Königin Eier? Entwickeln sich junge Bienen? Jede Kontrolle sollte einen Grund haben. Den Stock zu oft zu öffnen stört das Volk; nie hineinzuschauen kann dazu führen, ein wichtiges Signal zu übersehen. Erfahrung bedeutet auch zu wissen, wann man wieder schließt und die Bienen arbeiten lässt.
66	Eine Wabe in der Hand des Imkers ist eine Seite, die gelesen werden will, nicht nur Honig, der geerntet werden soll.
67	DIE WELT DER BIENEN HEUTE\n13
68	IM BERICHT
69	Ein Beruf im Rhythmus der Jahreszeiten
70	IM LAUF DES JAHRES
71	Beobachten, vorbereiten, warten.
72	Der Imker bereitet sich im Voraus vor, kann aber weder Sonnenschein bestellen noch den Regen anhalten. Er bewegt Ausrüstung, kontrolliert die Gesundheit der Völker und bezahlt Material und Arbeit auch dann, wenn die Ernte gering ausfällt. Der Honey-Cost-Bericht des CREA, der sich auf 2023-2024 bezieht und 2026 veröffentlicht wurde, untersucht Kosten und Nachhaltigkeit von Imkereibetrieben. Hinter jedem Glas stehen Entscheidungen, Fachwissen und Risiken.
73	Die Ergebnisse von Honey Cost beziehen sich auf die im Zeitraum 2023-2024 untersuchten Betriebe; sie beschreiben nicht automatisch jeden italienischen Imker.
74	DIE WELT DER BIENEN HEUTE\n14
75	Viele Landschaften, viele Honige
