0	NATURE  /  PEOPLE  /  TERRITORY
1	ISSUE 01   ·   SEPTEMBER 2026
2	THE WORLD\nOF BEES\nTODAY
3	Know them, understand them, protect them
4	THE WORLD OF BEES TODAY\n02
5	ISSUE 01  ·  SEPTEMBER 2026\nFOREWORD
6	A NEW COLUMN
7	Dear friends...\nand especially you, our youngest readers!
8	Today we begin this simple column, which will accompany us every two weeks as we discover a truly extraordinary world: the world of bees.
9	With simple words, curiosities and short stories, we will get to know these precious insects better, understand how they live, how they work together and how important they are for nature and for all of us.
10	Of course, this column also wants to be a space open to all of you: your stories, experiences and photographs will be welcome, whether they are about nature in general or more closely connected with bees, hives, flowers and the environment around them.
11	You can also send us reports about environmental degradation, difficulties or problems affecting hives, observations about the health of bees and, more generally, anything that can help us better understand what is happening in the local area.
12	Every testimony, photograph or report can become a small but useful contribution to understanding problems, raising awareness and, where possible, helping together to improve things and protect bees and their environment.
13	With our warmest greetings, we look forward to seeing you in the next issue, to continue this small journey together through the wonderful world of bees.
14	THE WORLD OF BEES TODAY\n03
15	ISSUE 01  ·  SEPTEMBER 2026\nBEES / TERRITORY
16	CHAPTER  01
17	A closer look
18	When a bee lands on a flower, it may look still. In fact, it is at work: its antennae explore, its legs find support and its tongue reaches the nectar. Grains of pollen stick to its hairy body. Some will end up on another flower. Others will return to the hive, gathered in the small baskets on the hind legs. A single visit already tells two stories: feeding the colony and sustaining plant life.
19	THE WORLD OF BEES TODAY\n04
20	THE WORD
21	A home full of life
22	A hive is a colony, a large family living together. There is a queen that lays eggs. There are thousands of worker bees that feed the young, build the comb, clean, defend and forage. Drones are the males and play a role in reproduction. The comb cells hold developing bees and food stores. Look closely and what seems like disorder becomes collective work.
23	Brood: the term for eggs, larvae and bees that are still developing.
24	THE WORLD OF BEES TODAY\n05
25	DID YOU KNOW?
26	A day outside
27	A bee leaves the hive when conditions allow. It searches for flowers, gathers nectar and pollen, then returns. If it finds a good food source, it can tell its nestmates where to look through movements on the comb. The journey does not follow a clock: it depends on light, weather and flowering. And among many similar entrances, the bee can still find its own hive.
28	A bee also uses the position of the sun and landmarks in the landscape to orient itself.
29	EDITORIAL IMAGE
30	THE WORLD OF BEES TODAY\n06
31	CHAPTER  04
32	Much more than honey
