0	NATURALEZA  /  PERSONAS  /  TERRITORIO
1	NÚMERO 01   ·   SEPTIEMBRE 2026
2	EL MUNDO\nDE LAS ABEJAS\nHOY
3	Conocerlas, comprenderlas, protegerlas
4	EL MUNDO DE LAS ABEJAS HOY\n02
5	NÚMERO 01  ·  SEPTIEMBRE 2026\nPRÓLOGO
6	UNA NUEVA SECCIÓN
7	Queridas amigas, queridos amigos...\ny sobre todo vosotros, los más pequeños!
8	Hoy comenzamos esta sencilla sección, que nos acompañará cada quince días para descubrir un mundo realmente extraordinario: el mundo de las abejas.
9	Con palabras sencillas, curiosidades y pequeños relatos intentaremos conocer mejor a estos valiosos insectos, comprender cómo viven, cómo trabajan juntas y lo importantes que son para la naturaleza y para todos nosotros.
10	Naturalmente, esta sección también quiere ser un espacio abierto a todos vosotros: serán bienvenidos vuestros testimonios, relatos y fotografías, tanto de carácter naturalista como más directamente relacionados con el mundo de las abejas, las colmenas, las flores y el entorno que las rodea.
11	También podréis enviarnos avisos sobre situaciones de deterioro ambiental, dificultades o problemas que afecten a las colmenas, observaciones sobre el estado de salud de las abejas y, en general, todo aquello que pueda ayudarnos a conocer mejor lo que sucede en el territorio.
12	Cada testimonio, fotografía o aviso podrá convertirse en una pequeña contribución útil para comprender los problemas, sensibilizar a las personas y, cuando sea posible, contribuir juntos a mejorar las cosas y a proteger a las abejas y su entorno.
13	Con un cordial saludo, os damos cita en el próximo número para continuar juntos este pequeño viaje por el maravilloso mundo de las abejas.
14	EL MUNDO DE LAS ABEJAS HOY\n03
15	NÚMERO 01  ·  SEPTIEMBRE 2026\nABEJAS / TERRITORIO
16	CAPÍTULO  01
17	Miremos de cerca
18	Cuando una abeja se posa sobre una flor, parece quieta. En realidad está trabajando: las antenas exploran, las patas buscan apoyo y la lengua alcanza el néctar. En su cuerpo peludo se adhieren granos de polen. Algunos terminarán en otra flor. Otros volverán a la colmena, recogidos en las pequeñas cestas de las patas traseras. Una sola visita ya cuenta dos historias: la alimentación de la colonia y la vida de las plantas.
19	EL MUNDO DE LAS ABEJAS HOY\n04
20	LA PALABRA
21	Una casa llena de vida
22	Una colmena es una colonia, es decir, una gran familia que vive unida. Hay una reina que pone los huevos. Hay miles de obreras que alimentan a las abejas jóvenes, construyen el panal, limpian, defienden y recolectan. Los zánganos son los machos y tienen un papel en la reproducción. Las celdas del panal albergan nuevas abejas y reservas. Si miramos de cerca, el aparente desorden se convierte en trabajo colectivo.
23	Cría: es el nombre de los huevos, las larvas y las abejas que todavía están creciendo.
24	EL MUNDO DE LAS ABEJAS HOY\n05
25	¿LO SABÍAS?
26	Un día fuera
27	La abeja sale de la colmena cuando las condiciones lo permiten. Busca flores, recoge néctar y polen y después regresa. Si encuentra una buena fuente de alimento, puede comunicar a sus compañeras dónde buscarla mediante movimientos sobre el panal. El viaje no sigue un reloj: depende de la luz, del tiempo y de las floraciones. Y, entre muchas entradas parecidas, la abeja consigue encontrar su propia colmena.
28	La abeja también utiliza la posición del sol y los puntos de referencia del paisaje para orientarse.
29	IMAGEN EDITORIAL
30	EL MUNDO DE LAS ABEJAS HOY\n06
31	CAPÍTULO  04
32	Mucho más que miel
33	Sobre una flor, la abeja busca alimento. Mientras tanto, transporta polen hacia otras flores de la misma especie: es la polinización. Así muchas plantas pueden formar semillas y frutos. No todas dependen de las abejas, y las abejas no son los únicos polinizadores: abejorros, mariposas, moscas y otros animales también participan en este trabajo. Proteger a los polinizadores significa dejar espacio a una red de vida mucho más grande que nuestro tarro de miel.
34	EL MUNDO DE LAS ABEJAS HOY\n07
35	EL DATO, CON EL AÑO
36	¿Cómo están hoy?
37	MIRAR EL TERRITORIO
38	Una temporada no cuenta la historia de cada\ncolmena.
39	No todas las abejas viven la misma situación. Una colonia puede prosperar en un lugar rico en flores y tener dificultades en otro. Además, la miel cuenta solo una parte de la historia. El informe del Observatorio Nacional de la Miel sobre la temporada 2025 describe una producción italiana en recuperación, pero muy diferente de una zona a otra, y con dificultades de mercado todavía presentes. Detrás de la media nacional hay territorios, temporadas y trabajos muy distintos.
40	Temporada 2025: producción en recuperación, con fuerte variabilidad territorial. Fuente: Observatorio Nacional de la Miel, informe publicado en 2026.
41	EL MUNDO DE LAS ABEJAS HOY\n08
42	CAPÍTULO  06
43	Cuando están bien
44	Un prado que florece durante mucho tiempo ofrece alimento en momentos distintos. Una fuente de agua, un entorno variado y una colmena seguida con atención ayudan a la colonia a afrontar la temporada. “Estar bien” no significa no tener nunca problemas. Significa poder contar con recursos y con un apicultor capaz de observar las señales e intervenir cuando hace falta. Las buenas noticias suelen estar hechas de gestos regulares y pacientes.
45	EL MUNDO DE LAS ABEJAS HOY\n09
46	SEÑAL DE ALARMA
47	Cuando faltan las flores
48	Imagina llegar al mercado y encontrar los estantes vacíos. A una abeja puede ocurrirle cuando una floración termina pronto o un entorno ofrece pocas flores. También las lluvias persistentes pueden impedirle volar en los días adecuados. Una colonia tiene reservas, pero no son infinitas. El problema no tiene una sola causa: las condiciones del lugar, la salud de las abejas y la evolución de la temporada se entrelazan.
49	Esta escena representa una situación local; por sí sola no demuestra una pérdida de colmenas.
50	EL MUNDO DE LAS ABEJAS HOY\n10
51	PARA OBSERVAR
52	Las estaciones cambian\nde ritmo
53	EN NUESTRO TERRITORIO
54	Cada floración tiene\nsu momento.
55	Si una planta florece antes de lo habitual, las abejas pueden encontrarla en un momento diferente del esperado. Si durante la floración llueve varios días, el néctar puede quedar fuera de alcance. El calor y la sequía pueden reducir los recursos disponibles. El clima que cambia aumenta la presión sobre plantas, abejas y apicultores, pero cada territorio tiene su propia historia. Para comprenderla hacen falta observaciones repetidas, no una sola fotografía.
56	FOTO  ARCHIVO LA FABBRICA DELLE API  ·  CASTEL D’ARIO
57	EL MUNDO DE LAS ABEJAS HOY\n11
58	FUENTE
59	Un huésped difícil
60	La Varroa es un pequeño ácaro que vive a costa de las abejas y se reproduce en las celdas donde crecen las abejas jóvenes. Puede debilitar la colonia y favorecer la difusión de virus. Por eso el apicultor controla la presencia del parásito y aplica las medidas previstas para limitarlo. En una fotografía de cerca, la Varroa parece enorme; en realidad mide solo unos pocos milímetros.
61	Ministerio de Sanidad, ficha «Varroosis». El control requiere competencia y continuidad.
62	EL MUNDO DE LAS ABEJAS HOY\n12
63	MIRA BIEN
64	Quien abre la colmena
65	Antes de levantar un panal, el apicultor observa. ¿Cómo es la actividad en la entrada? ¿Hay reservas? ¿La reina pone huevos? ¿Las abejas jóvenes están creciendo? Cada visita debería tener un motivo. Abrir la colmena demasiado a menudo molesta a la colonia; no mirar nunca puede hacer que se pierda una señal importante. La experiencia también consiste en saber cuándo cerrar de nuevo y dejar trabajar a las abejas.
66	El panal en la mano del apicultor es una página que hay que leer, no solo miel que recoger.
67	EL MUNDO DE LAS ABEJAS HOY\n13
68	EN EL INFORME
69	Un oficio de estaciones
70	A LO LARGO DEL AÑO
71	Observar, preparar, esperar.
72	El apicultor se prepara con antelación, pero no puede ordenar que salga el sol ni detener la lluvia. Mueve equipos, controla la salud de las colmenas, paga materiales y trabajo incluso cuando la cosecha es escasa. El informe Honey Cost del CREA, referido a 2023-2024 y publicado en 2026, estudia precisamente los costes y la sostenibilidad de las empresas apícolas. Detrás de cada tarro hay decisiones, competencia y riesgos.
73	Los resultados de Honey Cost se refieren a las empresas estudiadas en el bienio 2023-2024; por sí solos no describen a todos los apicultores italianos.
74	EL MUNDO DE LAS ABEJAS HOY\n14
75	Muchas tierras, muchas mieles
76	La apicultura italiana atraviesa llanuras, colinas, bosques y montañas. Cambian las plantas, cambian los periodos de floración y cambian las mieles. Algunos apicultores mantienen las colmenas en el mismo lugar; otros las desplazan siguiendo las floraciones: esta práctica se llama trashumancia apícola. También por eso dos cosechas del mismo tipo de miel pueden tener matices diferentes. El territorio entra en el tarro, pero antes ha entrado en el vuelo de las abejas.
77	Trashumancia apícola: desplazar las colmenas para seguir las floraciones en lugares diferentes.
78	EL MUNDO DE LAS ABEJAS HOY\n15
79	NÚMERO 01  ·  SEPTIEMBRE 2026\nCOLMENA / PERSONAS
80	DE NUESTRO PROYECTO
81	CAPÍTULO  13
82	La miel empieza en las flores
83	Las abejas recogen néctar y lo llevan a la colmena. Allí lo transforman y lo conservan en las celdas como reserva de alimento. Solo llega hasta nosotros la miel que puede extraerse respetando las necesidades de la colonia. El color, el aroma y la consistencia varían según el origen botánico y con el paso del tiempo. Una miel cristalizada no está estropeada: la cristalización es un proceso natural.
84	EL MUNDO DE LAS ABEJAS HOY\n16
85	Las cestas de polen
86	Observa una abeja que abandona una flor: en las patas traseras puede llevar dos bolitas de colores. Son cargas de polen recogidas y compactadas durante el vuelo. Los colores cambian según las flores visitadas. En la colmena, el polen es un recurso importante para alimentar a la colonia, sobre todo cuando crecen nuevas abejas. Nuestro interés por este producto viene después de su función en la vida de la colmena.
87	Las dos bolitas de las patas pueden tener tonalidades distintas si la abeja ha visitado flores diferentes.
88	EL MUNDO DE LAS ABEJAS HOY\n17
89	CAPÍTULO  15
90	El polen entra en el panal
91	Una parte del polen recogido se deposita en las celdas. Las abejas lo trabajan junto con otras sustancias de la colmena: es lo que llamamos pan de abeja. En el panal no es un producto «de exposición», sino una reserva para la familia. Las celdas con colores diferentes también cuentan la variedad de flores visitadas. Una fotografía auténtica de este detalle vale más que muchas definiciones.
92	EL MUNDO DE LAS ABEJAS HOY\n18
93	PRIMERO LA ABEJA
94	El propóleo en la colmena
95	Las abejas recogen sustancias resinosas de las plantas y las trabajan hasta obtener propóleo. Lo utilizan, entre otras cosas, para sellar pequeños espacios y proteger el ambiente interior de la colmena. Es pegajoso, aromático y cambia de aspecto según las plantas de origen. Solo después de comprender qué representa para las abejas podemos observar los preparados que obtiene el ser humano, sin atribuirles poderes milagrosos.
96	En el panal, una grieta cerrada con propóleo es un pequeño gesto de mantenimiento de la casa.
97	EL MUNDO DE LAS ABEJAS HOY\n19
98	El alimento de las reinas
99	La jalea real es producida por las abejas obreras jóvenes. Alimenta a las larvas en las primeras fases y a la reina durante toda su vida. Su historia nos lleva al corazón de la colonia: el cuidado de las nuevas generaciones. Cuando se habla del producto destinado al ser humano, conviene mantener separada esta función natural de las afirmaciones sobre la salud, que requieren pruebas específicas.
100	Una celda real tiene una forma diferente de las celdas normales del panal.
101	EL MUNDO DE LAS ABEJAS HOY\n20
102	CAPÍTULO  18
103	La casa de cera
104	Las abejas obreras producen cera y con ella construyen las celdas. El panal es ligero, pero ofrece espacio para crecer, almacenar polen y guardar miel. De cerca, los hexágonos parecen un dibujo preciso. Sin embargo, son el resultado del trabajo de muchas abejas, una junto a otra. Antes de convertirse en una vela u otro objeto, la cera fue la estructura de su casa.
105	EL MUNDO DE LAS ABEJAS HOY\n21
106	RECUERDA
107	¿Por qué pica una abeja?
108	El aguijón sirve sobre todo para defenderse. Las obreras pueden utilizarlo cuando perciben una amenaza para ellas o para la colonia. Una picadura puede provocar reacciones graves en personas sensibles: conviene mantener la distancia y la calma cerca de las colmenas. El veneno de abeja se estudia y aparece en algunas formulaciones específicas, pero esta historia no autoriza promesas de curación. Aquí partimos de su función para la abeja.
109	Si una persona presenta síntomas importantes después de una picadura, debe solicitar asistencia médica de inmediato.
110	EL MUNDO DE LAS ABEJAS HOY\n22
111	CAPÍTULO  20
112	Las abejas cerca de nosotros
